Variable 1,Variable 2,Correlation Coefficient,p Value,Absolute Value of Correlation,Correlation Strength,Direction
LakesBuf,VegHeight_,-0.48267935480894175,1.7555075231934225e-5,0.48267935480894175,Moderate,Negative
h2oAgricul,LakesBuf,0.4825078158737446,1.7693857875311636e-5,0.4825078158737446,Moderate,Positive
BurnBuf,h2oBurnPer,0.4822567566882824,1.789882014202604e-5,0.4822567566882824,Moderate,Positive
HiCascRCA,SumPrecip,-0.481599982056562,1.8445516717591204e-5,0.481599982056562,Moderate,Negative
MeanMaxAir,VegCover,-0.4805963430653191,1.9311070001082342e-5,0.4805963430653191,Moderate,Negative
HiCascBuf,thermalSensitivity,-0.4794946192899239,2.0304692552208792e-5,0.4794946192899239,Moderate,Negative
h2oAgricul,WetlandsRC,0.4793099739375417,2.047580741004751e-5,0.4793099739375417,Moderate,Positive
AgBuf,thermalSensitivity,0.4787381489022917,2.1014287639342655e-5,0.4787381489022917,Moderate,Positive
h2oRdDens,MeanAirJJA,0.47856431209075245,2.1180583022140098e-5,0.47856431209075245,Moderate,Positive
VegHtBuf,WetlandsRC,-0.47729820637151815,2.2429233535348203e-5,0.47729820637151815,Moderate,Negative
BFI,Forest21,0.4766798548575501,2.3063656708011138e-5,0.4766798548575501,Moderate,Positive
SLOPE,VegHtBuf,0.4756596846053247,2.4146971190130984e-5,0.4756596846053247,Moderate,Positive
VegHeight_,WetlandsRC,-0.47532380949719066,2.4513872232567735e-5,0.47532380949719066,Moderate,Negative
h2oDevelop,WetlandsRC,0.47430482736745105,2.5658969174280344e-5,0.47430482736745105,Moderate,Positive
WetlandBuf,WetPrecip,-0.47300852414794153,2.718765306841675e-5,0.47300852414794153,Moderate,Negative
MeanMaxAir,VegHeight_,-0.4729088601491051,2.730862211297591e-5,0.4729088601491051,Moderate,Negative
VegHeight_,WetlandBuf,-0.4727494487134196,2.750315185195973e-5,0.4727494487134196,Moderate,Negative
BFI,MeanMaxAir,-0.4704832211678988,3.0411740501445905e-5,0.4704832211678988,Moderate,Negative
h2oRdDens,MaxAir_C,0.4697842007197326,3.1365036862851525e-5,0.4697842007197326,Moderate,Positive
h2oVegCov,WetPrecip,0.4685261325204219,3.3151052170943274e-5,0.4685261325204219,Moderate,Positive
h2oDevelop,h2oRdDens,0.4668356426187701,3.569996546426424e-5,0.4668356426187701,Moderate,Positive
Elev,h2oVegCov,0.4668065673093121,3.5745356057770294e-5,0.4668065673093121,Moderate,Positive
AgBuf,h2oRdDens,0.46516568436879085,3.839562864627055e-5,0.46516568436879085,Moderate,Positive
DevelopBuf,h2oRdDens,0.46382051168702687,4.070315408277736e-5,0.46382051168702687,Moderate,Positive
VegCovBuf,WetPrecip,0.4637096128100373,4.089902321569028e-5,0.4637096128100373,Moderate,Positive
WetlandsRC,WetPrecip,-0.4632149328106084,4.178342589211681e-5,0.4632149328106084,Moderate,Negative
h2oVegCov,meanStreamTemp,-0.463213068364525,4.1786792517983784e-5,0.463213068364525,Moderate,Negative
AgBuf,LakesRCA,0.4625441842377289,4.30109736313522e-5,0.4625441842377289,Moderate,Positive
MeanMaxAir,VegCovBuf,-0.4609112403677335,4.614071757291782e-5,0.4609112403677335,Moderate,Negative
h2oBurnPer,h2oLakesPe,0.46089805288659763,4.6166831581651024e-5,0.46089805288659763,Moderate,Positive
h2oVegCov,WetlandBuf,-0.4573472865224832,5.371891616468005e-5,0.4573472865224832,Moderate,Negative
h2oDevelop,WetlandBuf,0.4567178774489926,5.5171510437102e-5,0.4567178774489926,Moderate,Positive
Precip_mm,VegCovBuf,0.4559899646933371,5.6896789397464786e-5,0.4559899646933371,Moderate,Positive
h2oBurnPer,Solar,-0.45557485044012447,5.7902927445896424e-5,0.45557485044012447,Moderate,Negative
meanAirTemp,SumPrecip,-0.45422294826328774,6.129499952622908e-5,0.45422294826328774,Moderate,Negative
DevelopBuf,WetlandsRC,0.45390037105749886,6.213112717845526e-5,0.45390037105749886,Moderate,Positive
LakesBuf,meanStreamTemp,0.4536716495461979,6.27303643616628e-5,0.4536716495461979,Moderate,Positive
h2oVegCov,WetlandsRC,-0.45257182016718345,6.568731431522146e-5,0.45257182016718345,Moderate,Negative
VegHtBuf,WetlandBuf,-0.45236264694284195,6.62640871893494e-5,0.45236264694284195,Moderate,Negative
Forest21,h2oHiCascP,0.4523005396703762,6.643624182900432e-5,0.4523005396703762,Moderate,Positive
AgBuf,WetlandBuf,0.45164368437633684,6.828249048496104e-5,0.45164368437633684,Moderate,Positive
h2oAgricul,WetlandBuf,0.45134395869010907,6.914061948370964e-5,0.45134395869010907,Moderate,Positive
DevelopBuf,thermalSensitivity,0.45060408132117535,7.130183124592904e-5,0.45060408132117535,Moderate,Positive
h2oBurnPer,h2oKm2,0.45040600747971044,7.189092793247198e-5,0.45040600747971044,Moderate,Positive
h2oVegCov,Precip_mm,0.45032282451612765,7.213966463970323e-5,0.45032282451612765,Moderate,Positive
Precip_mm,WetlandBuf,-0.450133601707708,7.270845417384209e-5,0.450133601707708,Moderate,Negative
VegCover,WetlandsRC,-0.4495913808127736,7.436138960104088e-5,0.4495913808127736,Moderate,Negative
h2oAgricul,h2oRdDens,0.44830712300949543,7.84160298294978e-5,0.44830712300949543,Moderate,Positive
Precip_mm,WetlandsRC,-0.4480719639287877,7.918025703590459e-5,0.4480719639287877,Moderate,Negative
LakesBuf,VegHtBuf,-0.44560398407724044,8.762684399643561e-5,0.44560398407724044,Moderate,Negative
h2oVegHt,VegHtBuf,0.44450340820293877,9.165563514113018e-5,0.44450340820293877,Moderate,Positive
h2oVegHt,WetlandsRC,-0.4444957160905132,9.168438565376746e-5,0.4444957160905132,Moderate,Negative
h2oHiCascP,VegCover,0.44229846311166315,1.0024676187692094e-4,0.44229846311166315,Moderate,Positive
h2oWetland,MeanAirJJA,0.44156962243702863,1.0324616174939294e-4,0.44156962243702863,Moderate,Positive
h2oRdDens,VegHtBuf,-0.44127484681687124,1.0448261276341242e-4,0.44127484681687124,Moderate,Negative
h2oLakesPe,Shrub21,0.4405073435404303,1.0776635466358542e-4,0.4405073435404303,Moderate,Positive
DevelopRCA,HiCascRCA,-0.44017227988348057,1.0922956529979544e-4,0.44017227988348057,Moderate,Negative
h2oDevelop,HiCascRCA,-0.4401638659202405,1.0926654363041521e-4,0.4401638659202405,Moderate,Negative
LakesRCA,VegHeight_,-0.4396554260122088,1.1152263629021775e-4,0.4396554260122088,Moderate,Negative
AgBuf,LakesBuf,0.43954401147305205,1.1202272097365906e-4,0.43954401147305205,Moderate,Positive
LakesRCA,WetlandsRC,0.4394182034428412,1.1258989774853845e-4,0.4394182034428412,Moderate,Positive
MeanAirJJA,WetlandsRC,0.4387871047760334,1.1547525584454377e-4,0.4387871047760334,Moderate,Positive
h2oBurnPer,h2oDevelop,-0.4385343849258223,1.1664968907831863e-4,0.4385343849258223,Moderate,Negative
h2oWetland,VegCover,-0.4376467818222743,1.2086239644615304e-4,0.4376467818222743,Moderate,Negative
meanAirTemp,SLOPE,-0.43674910098535485,1.2526525667433397e-4,0.43674910098535485,Moderate,Negative
DevelopRCA,VegCovBuf,-0.4362837881509184,1.2760522908372707e-4,0.4362837881509184,Moderate,Negative
SumPrecip,thermalSensitivity,0.4344204324449728,1.3738524200657132e-4,0.4344204324449728,Moderate,Positive
AgricultRC,Forest21,-0.43128728514191966,1.5539981953471838e-4,0.43128728514191966,Moderate,Negative
LakesBuf,VegCover,-0.4304473859793751,1.605856483042345e-4,0.4304473859793751,Moderate,Negative
AgricultRC,HiCascRCA,-0.43004768499222235,1.631090650269229e-4,0.43004768499222235,Moderate,Negative
h2oAgricul,HiCascRCA,-0.43003934030390006,1.6316213399236723e-4,0.43003934030390006,Moderate,Negative
h2oAgricul,h2oBurnPer,-0.4295316238370851,1.664210710783376e-4,0.4295316238370851,Moderate,Negative
AgBuf,Forest21,-0.42835092361516386,1.7423270905347898e-4,0.42835092361516386,Moderate,Negative
DevelopBuf,WetlandBuf,0.42722864591439225,1.8196913521606461e-4,0.42722864591439225,Moderate,Positive
VegCover,WetlandBuf,-0.42620446189590455,1.8930378100301404e-4,0.42620446189590455,Moderate,Negative
HiCascRCA,VegHtBuf,0.42584974139505505,1.9190680751091094e-4,0.42584974139505505,Moderate,Positive
DevelopRCA,Forest21,-0.42492555670575205,1.9884401223158044e-4,0.42492555670575205,Moderate,Negative
AgricultRC,h2oRdDens,0.42371064742617814,2.0831416767164157e-4,0.42371064742617814,Moderate,Positive
h2oRdDens,VegHeight_,-0.4233935834373668,2.1085293752864942e-4,0.4233935834373668,Moderate,Negative
h2oRdDens,h2oWetland,0.42322725610280076,2.1219607726696843e-4,0.42322725610280076,Moderate,Positive
HiCascBuf,VegHeight_,0.4217929148638795,2.2410914086057332e-4,0.4217929148638795,Moderate,Positive
HiCascBuf,SumPrecip,-0.4213954147880656,2.2751761937289672e-4,0.4213954147880656,Moderate,Negative
DevelopBuf,h2oWetland,0.42134512452228223,2.2795222274463178e-4,0.42134512452228223,Moderate,Positive
h2oVegHt,WetlandBuf,-0.4199109687381833,2.4067148538797767e-4,0.4199109687381833,Moderate,Negative
LakesRCA,VegCover,-0.41778307650836655,2.6074674642195816e-4,0.41778307650836655,Moderate,Negative
Elev,WetlandsRC,-0.4170872603692994,2.6763732675783025e-4,0.4170872603692994,Moderate,Negative
h2oRdDens,VegCover,-0.4160609790299441,2.781055855387571e-4,0.4160609790299441,Moderate,Negative
MeanMaxAir,SLOPE,-0.4134730649808469,3.061910034887205e-4,0.4134730649808469,Moderate,Negative
BFI,WetlandsRC,-0.4115477563564934,3.287453179667832e-4,0.4115477563564934,Moderate,Negative
DevelopBuf,VegCovBuf,-0.41133170009295283,3.313690372108713e-4,0.41133170009295283,Moderate,Negative
h2oWetland,VegHeight_,-0.4094820717143741,3.546272924386251e-4,0.4094820717143741,Moderate,Negative
Forest21,thermalSensitivity,-0.4073377250174763,3.8345531868966276e-4,0.4073377250174763,Moderate,Negative
h2oVegCov,h2oWetland,-0.4070926158240662,3.8688344477844083e-4,0.4070926158240662,Moderate,Negative
h2oHiCascP,h2oVegCov,0.40700752486138125,3.88080072799335e-4,0.40700752486138125,Moderate,Positive
VegCovBuf,WetlandsRC,-0.4065462654865261,3.9462581280291786e-4,0.4065462654865261,Moderate,Negative
MeanMaxAir,WetlandsRC,0.40598821743502084,4.026799094387634e-4,0.40598821743502084,Moderate,Positive
RoadsRCA,WetlandsRC,0.40347526785764976,4.408427599731368e-4,0.40347526785764976,Moderate,Positive
HiCascBuf,VegHtBuf,0.40329547920167985,4.436958111480038e-4,0.40329547920167985,Moderate,Positive
RoadsRCA,WetlandBuf,0.4029368001128268,4.494380846837842e-4,0.4029368001128268,Moderate,Positive
AgricultRC,VegCovBuf,-0.40280714336758056,4.515304635575035e-4,0.40280714336758056,Moderate,Negative
h2oVegHt,h2oWetland,-0.4013509887756626,4.756481163723514e-4,0.4013509887756626,Moderate,Negative
HiCascRCA,MeanAirJJA,-0.4007593377218888,4.857788234162719e-4,0.4007593377218888,Moderate,Negative
SLOPE,VegCover,0.3975358144535574,5.445155203176455e-4,0.3975358144535574,Moderate,Positive
RoadsRCA,SumPrecip,-0.39694742428872415,5.559104446346552e-4,0.39694742428872415,Moderate,Negative
HiCascRCA,WetPrecip,0.39568414031971205,5.811129276112048e-4,0.39568414031971205,Moderate,Positive
MeanMaxAir,WetlandBuf,0.3950029250944658,5.95130886963835e-4,0.3950029250944658,Moderate,Positive
BFI,VegCovBuf,0.39433244642148924,6.092278858447209e-4,0.39433244642148924,Moderate,Positive
h2oWetland,LakesRCA,0.39431091035684906,6.09685684755279e-4,0.39431091035684906,Moderate,Positive
BurnBuf,Shrub21,0.39309393763116257,6.360698312193325e-4,0.39309393763116257,Moderate,Positive
h2oWetland,MeanMaxAir,0.3922516448258988,6.549347417896811e-4,0.3922516448258988,Moderate,Positive
LakesBuf,WetlandBuf,0.39210167038005045,6.583466258149873e-4,0.39210167038005045,Moderate,Positive
h2oKm2,h2oLakesPe,0.3913354072893033,6.760326048418364e-4,0.3913354072893033,Moderate,Positive
h2oVegHt,LakesRCA,-0.39126998983150113,6.775623318868718e-4,0.39126998983150113,Moderate,Negative
MeanAirJJA,WetlandBuf,0.39017431673288133,7.036559268285281e-4,0.39017431673288133,Moderate,Positive
MeanAirJJA,thermalSensitivity,0.3893606096971082,7.236219488115925e-4,0.3893606096971082,Weak,Positive
h2oHiCascP,LakesRCA,-0.3872770708559242,7.771145892965237e-4,0.3872770708559242,Weak,Negative
LakesRCA,meanStreamTemp,0.3835502288690935,8.818300345452279e-4,0.3835502288690935,Weak,Positive
HiCascRCA,Precip_mm,0.3831320896018284,8.943437572834778e-4,0.3831320896018284,Weak,Positive
h2oVegCov,meanAirTemp,-0.3831048272281046,8.951652069375537e-4,0.3831048272281046,Weak,Negative
DevelopBuf,h2oHiCascP,-0.38307287033486154,8.961289792883687e-4,0.38307287033486154,Weak,Negative
meanAirTemp,WetlandsRC,0.38292658420644426,9.005527729679663e-4,0.38292658420644426,Weak,Positive
LakesBuf,WetlandsRC,0.3818749034858701,9.329436722123052e-4,0.3818749034858701,Weak,Positive
BurnRCA,h2oAgricul,-0.3817505022642224,9.368441491170998e-4,0.3817505022642224,Weak,Negative
HiCascBuf,Solar,-0.3815609922985953,9.428144561298701e-4,0.3815609922985953,Weak,Negative
h2oRdDens,SumPrecip,-0.3805358159044209,9.757134108614451e-4,0.3805358159044209,Weak,Negative
Forest21,h2oKm2,0.3794140380014569,0.001012901043866421,0.3794140380014569,Weak,Positive
meanStreamTemp,WetlandsRC,0.3784511316412988,0.0010458404691229273,0.3784511316412988,Weak,Positive
thermalSensitivity,VegHtBuf,-0.37778599806931973,0.0010691565348903698,0.37778599806931973,Weak,Negative
BFI,h2oBurnPer,0.37733370377530673,0.0010852791936650785,0.37733370377530673,Weak,Positive
BurnRCA,h2oDevelop,-0.37534006305551953,0.0011589991096281338,0.37534006305551953,Weak,Negative
LakesBuf,thermalSensitivity,0.37400756401057805,0.001210764942986664,0.37400756401057805,Weak,Positive
h2oKm2,Shrub21,0.37268239732924413,0.0012643089171404664,0.37268239732924413,Weak,Positive
MeanAirJJA,SumPrecip,-0.3720829245540956,0.0012892260335721772,0.3720829245540956,Weak,Negative
Forest21,meanStreamTemp,-0.37127741993708996,0.0013234049481838372,0.37127741993708996,Weak,Negative
Precip_mm,SLOPE,0.37030007504081214,0.0013659723649648292,0.37030007504081214,Weak,Positive
DevelopBuf,RoadsRCA,0.37022792611415706,0.0013691631839911622,0.37022792611415706,Weak,Positive
HiCascBuf,VegCover,0.3687669326322406,0.0014352401178752139,0.3687669326322406,Weak,Positive
h2oWetland,meanAirTemp,0.3675015316810458,0.0014947799769104986,0.3675015316810458,Weak,Positive
HiCascRCA,LakesRCA,-0.3671760535056015,0.001510450047554901,0.3671760535056015,Weak,Negative
h2oVegHt,MeanAirJJA,-0.367105404973528,0.0015138708958275515,0.367105404973528,Weak,Negative
h2oRdDens,RoadsRCA,0.36625607433397106,0.0015555459852183429,0.36625607433397106,Weak,Positive
DevelopRCA,HiCascBuf,-0.3660262165229962,0.0015670009713253386,0.3660262165229962,Weak,Negative
h2oDevelop,HiCascBuf,-0.36601921987356717,0.0015673508384979051,0.36601921987356717,Weak,Negative
Elev,WetlandBuf,-0.364832710154333,0.0016277099995154476,0.364832710154333,Weak,Negative
AgBuf,h2oHiCascP,-0.36401460121779494,0.0016705386787387866,0.36401460121779494,Weak,Negative
h2oBurnPer,Precip_mm,0.3608139801291004,0.0018480093670794062,0.3608139801291004,Weak,Positive
h2oWetland,WetlandsRC,0.35878364809237734,0.001969196080760849,0.35878364809237734,Weak,Positive
BFI,WetlandBuf,-0.35868557017130026,0.0019752268455630606,0.35868557017130026,Weak,Negative
h2oBurnPer,WetPrecip,0.35826911259609345,0.0020010197686972653,0.35826911259609345,Weak,Positive
HiCascBuf,LakesRCA,-0.35764873037140027,0.0020400034990948335,0.35764873037140027,Weak,Negative
AgricultRC,HiCascBuf,-0.35760708762451976,0.0020426445075740762,0.35760708762451976,Weak,Negative
h2oAgricul,HiCascBuf,-0.3576001485807992,0.0020430848841275218,0.3576001485807992,Weak,Negative
h2oVegHt,LakesBuf,-0.35652568604594137,0.0021123111687875173,0.35652568604594137,Weak,Negative
h2oVegCov,VegHtBuf,0.3556606150791376,0.002169567848297138,0.3556606150791376,Weak,Positive
SLOPE,WetPrecip,0.35563026623853505,0.0021716015862898175,0.35563026623853505,Weak,Positive
meanAirTemp,WetlandBuf,0.3548164391722445,0.002226779358711628,0.3548164391722445,Weak,Positive
Shrub21,Solar,-0.35440941156510186,0.002254844691924607,0.35440941156510186,Weak,Negative
h2oVegCov,MeanAirJJA,-0.3535494079349944,0.0023151886025267743,0.3535494079349944,Weak,Negative
h2oWetland,VegHtBuf,-0.35302397206918296,0.002352765056194528,0.35302397206918296,Weak,Negative
Elev,h2oRdDens,-0.35177204828240927,0.002444506611228192,0.35177204828240927,Weak,Negative
MaxAir_C,VegHtBuf,-0.34936232508141507,0.002630153114764111,0.34936232508141507,Weak,Negative
DevelopBuf,Forest21,-0.34923350620335897,0.0026404233264512023,0.34923350620335897,Weak,Negative
MaxAir_C,VegCovBuf,-0.3489441774750938,0.0026636211727721903,0.3489441774750938,Weak,Negative
h2oAgricul,MaxAir_C,0.34810174756953965,0.0027322068660815546,0.34810174756953965,Weak,Positive
LakesRCA,thermalSensitivity,0.3473413764039266,0.0027954624735708755,0.3473413764039266,Weak,Positive
HiCascBuf,WetPrecip,0.3471977585322472,0.002807555947938134,0.3471977585322472,Weak,Positive
h2oVegHt,HiCascRCA,0.34487947631986926,0.0030093421693691003,0.34487947631986926,Weak,Positive
h2oVegHt,meanAirTemp,-0.3442134681869719,0.0030696571339616785,0.3442134681869719,Weak,Negative
h2oWetland,meanStreamTemp,0.3425837472214141,0.0032218197226629997,0.3425837472214141,Weak,Positive
AgricultRC,h2oBurnPer,-0.34080192335828335,0.003395845755524096,0.34080192335828335,Weak,Negative
HiCascRCA,LakesBuf,-0.33999879786033826,0.0034769860374752604,0.33999879786033826,Weak,Negative
DevelopBuf,HiCascRCA,-0.33998682445554895,0.003478208665420812,0.33998682445554895,Weak,Negative
VegCovBuf,WetlandBuf,-0.3394711385737101,0.003531230958916609,0.3394711385737101,Weak,Negative
AgBuf,SLOPE,-0.33920242126073746,0.003559144307885731,0.33920242126073746,Weak,Negative
BFI,h2oRdDens,-0.3385676764789563,0.0036258604097054725,0.3385676764789563,Weak,Negative
RoadsRCA,VegCover,-0.3385226525175485,0.0036306347290357976,0.3385226525175485,Weak,Negative
DevelopRCA,MaxAir_C,0.3367048614267313,0.0038281248950116087,0.3367048614267313,Weak,Positive
LakesRCA,WetlandBuf,0.33500202824608405,0.004021728321549567,0.33500202824608405,Weak,Positive
LakesRCA,VegHtBuf,-0.3349755626759686,0.0040248047241990825,0.3349755626759686,Weak,Negative
MaxAir_C,WetlandBuf,0.33444209631701743,0.0040872629979262776,0.33444209631701743,Weak,Positive
HiCascBuf,MeanAirJJA,-0.33337561896658574,0.004214711547156469,0.33337561896658574,Weak,Negative
h2oVegHt,VegCovBuf,0.33335745597276434,0.0042169123037687495,0.33335745597276434,Weak,Positive
h2oLakesPe,SLOPE,-0.3331430409396797,0.004242969518546413,0.3331430409396797,Weak,Negative
h2oHiCascP,Solar,-0.3328455803957967,0.0042793555504596625,0.3328455803957967,Weak,Negative
BurnRCA,WetPrecip,0.3327589234750237,0.004290007552935293,0.3327589234750237,Weak,Positive
Elev,Forest21,0.3320333545189807,0.004380122533861108,0.3320333545189807,Weak,Positive
h2oKm2,RoadsRCA,0.33153498332556075,0.004442988293440919,0.33153498332556075,Weak,Positive
RoadsRCA,SLOPE,-0.33079453730134667,0.004537867164138065,0.33079453730134667,Weak,Negative
AgricultRC,MaxAir_C,0.3305484996989712,0.004569788851691348,0.3305484996989712,Weak,Positive
AgBuf,RoadsRCA,0.3302435371196423,0.0046096316943287086,0.3302435371196423,Weak,Positive
h2oHiCascP,LakesBuf,-0.3295336711171699,0.004703568651446277,0.3295336711171699,Weak,Negative
HiCascBuf,Precip_mm,0.3294190957451882,0.0047188883240039114,0.3294190957451882,Weak,Positive
h2oRdDens,Shrub21,-0.32915504476390745,0.004754362486582897,0.32915504476390745,Weak,Negative
RoadsRCA,WetPrecip,-0.32836901104910177,0.004861364484398001,0.32836901104910177,Weak,Negative
h2oHiCascP,WetPrecip,0.32750359290493253,0.004981633125630047,0.32750359290493253,Weak,Positive
meanAirTemp,thermalSensitivity,0.32741178814206023,0.00499454453155157,0.32741178814206023,Weak,Positive
AgricultRC,BurnRCA,-0.32665780368992525,0.005101709579182323,0.32665780368992525,Weak,Negative
Precip_mm,RoadsRCA,-0.32602087588658185,0.0051938161491851265,0.32602087588658185,Weak,Negative
h2oVegCov,MeanMaxAir,-0.32601931667761647,0.005194043419239236,0.32601931667761647,Weak,Negative
DevelopBuf,MaxAir_C,0.3259630221259111,0.00520225479453984,0.3259630221259111,Weak,Positive
h2oKm2,MeanAirJJA,0.32407355672309385,0.005484601200315353,0.32407355672309385,Weak,Positive
h2oBurnPer,h2oHiCascP,0.3239597096565021,0.005502037783184033,0.3239597096565021,Weak,Positive
AgricultRC,SLOPE,-0.32395920758353625,0.0055021147879232846,0.32395920758353625,Weak,Negative
LakesRCA,MeanAirJJA,0.32277771086808765,0.005685982755596397,0.32277771086808765,Weak,Positive
Forest21,Shrub21,-0.3212338571315579,0.005934401091253871,0.3212338571315579,Weak,Negative
AgBuf,HiCascRCA,-0.3199541504454285,0.0061475185050012815,0.3199541504454285,Weak,Negative
HiCascRCA,VegCovBuf,0.31963652647379426,0.006201447565102436,0.31963652647379426,Weak,Positive
h2oKm2,meanStreamTemp,0.31879863656826807,0.006345716620916653,0.31879863656826807,Weak,Positive
BurnRCA,Precip_mm,0.31778431869211066,0.006524310652619381,0.31778431869211066,Weak,Positive
Forest21,WetlandsRC,-0.3167055956929244,0.006719083254890457,0.3167055956929244,Weak,Negative
h2oDevelop,MaxAir_C,0.3158333976046726,0.006880285865531022,0.3158333976046726,Weak,Positive
meanStreamTemp,WetlandBuf,0.3154046348105826,0.006960770196991817,0.3154046348105826,Weak,Positive
LakesBuf,MeanAirJJA,0.31480100904577163,0.007075480364979292,0.31480100904577163,Weak,Positive
h2oRdDens,VegCovBuf,-0.31407988878460497,0.007214692674746059,0.31407988878460497,Weak,Negative
Forest21,WetlandBuf,-0.3140633201463843,0.007217919314864263,0.3140633201463843,Weak,Negative
h2oHiCascP,h2oLakesPe,0.31354388526569704,0.007319720648530481,0.31354388526569704,Weak,Positive
h2oKm2,VegHtBuf,-0.31312863538457575,0.007402007554885515,0.31312863538457575,Weak,Negative
h2oHiCascP,h2oKm2,0.3122810849086152,0.007572483115649398,0.3122810849086152,Weak,Positive
h2oAgricul,VegCovBuf,-0.31223042317671723,0.00758278136682744,0.31223042317671723,Weak,Negative
h2oDevelop,VegCovBuf,-0.3114049045978053,0.007752327723088426,0.3114049045978053,Weak,Negative
MaxAir_C,SLOPE,-0.3113634747649972,0.007760923536966002,0.3113634747649972,Weak,Negative
h2oHiCascP,Precip_mm,0.31010292194040595,0.008026487229533252,0.31010292194040595,Weak,Positive
h2oVegCov,VegCovBuf,0.3030785456646887,0.009657024998567021,0.3030785456646887,Weak,Positive
h2oWetland,LakesBuf,0.30240820214081754,0.009826767550817905,0.30240820214081754,Weak,Positive
MaxAir_C,WetlandsRC,0.3024024777132559,0.00982822820323026,0.3024024777132559,Weak,Positive
Shrub21,SLOPE,-0.30216024380064527,0.009890210628662022,0.30216024380064527,Weak,Negative
h2oBurnPer,SLOPE,-0.3008095382771911,0.010242111529067843,0.3008095382771911,Weak,Negative
DevelopRCA,RoadsRCA,0.2994276372746076,0.010613374655890295,0.2994276372746076,Weak,Positive
Elev,MaxAir_C,-0.2958072662718072,0.011642054477671637,0.2958072662718072,Weak,Negative
BurnBuf,VegCovBuf,-0.29394251353425005,0.012204887737256476,0.29394251353425005,Weak,Negative
BFI,SLOPE,0.293816757033161,0.012243679322325285,0.293816757033161,Weak,Positive
DevelopRCA,h2oBurnPer,-0.29142494295238336,0.013002084656822177,0.29142494295238336,Weak,Negative
h2oRdDens,h2oVegHt,-0.290808820583233,0.013203909326895191,0.290808820583233,Weak,Negative
thermalSensitivity,VegCovBuf,-0.28992056183508985,0.013499645409836614,0.28992056183508985,Weak,Negative
h2oWetland,WetlandBuf,0.2895714533175364,0.013617435059850802,0.2895714533175364,Weak,Positive
RoadsRCA,VegHeight_,-0.28831277455851073,0.014049519139028632,0.28831277455851073,Weak,Negative
RoadsBuf,VegCovBuf,-0.2880822637573893,0.014129919169520555,0.2880822637573893,Weak,Negative
h2oBurnPer,VegCovBuf,-0.2867208360311818,0.01461291968784395,0.2867208360311818,Weak,Negative
h2oRdDens,h2oVegCov,-0.2847955238011171,0.015320244439000374,0.2847955238011171,Weak,Negative
SLOPE,VegHeight_,0.28325331549776034,0.01590790581577073,0.28325331549776034,Weak,Positive
HiCascBuf,LakesBuf,-0.2827267397123003,0.016112950698688344,0.2827267397123003,Weak,Negative
DevelopBuf,HiCascBuf,-0.28271678320151067,0.01611684948337455,0.28271678320151067,Weak,Negative
SLOPE,thermalSensitivity,-0.28205644578558814,0.01637724288961051,0.28205644578558814,Weak,Negative
h2oWetland,VegCovBuf,-0.2813495298985358,0.016660003221556696,0.2813495298985358,Weak,Negative
h2oVegHt,HiCascBuf,0.2799968532612282,0.017212765784729633,0.2799968532612282,Weak,Positive
BFI,Solar,-0.2794695918049765,0.017432451573204943,0.2794695918049765,Weak,Negative
h2oBurnPer,h2oRdDens,-0.2792296887551432,0.017533201656402486,0.2792296887551432,Weak,Negative
DevelopRCA,SLOPE,-0.2789159544972928,0.017665711268779916,0.2789159544972928,Weak,Negative
h2oBurnPer,HiCascRCA,0.2777623370744336,0.018160365794801514,0.2777623370744336,Weak,Positive
h2oRdDens,RoadsBuf,0.27623579800388026,0.018833126802427547,0.27623579800388026,Weak,Positive
RoadsBuf,VegHtBuf,-0.27555764877644195,0.019138767551953872,0.27555764877644195,Weak,Negative
h2oKm2,h2oVegHt,0.2750337642292109,0.019377776503316735,0.2750337642292109,Weak,Positive
BurnRCA,h2oKm2,0.274921473537022,0.019429336994502666,0.274921473537022,Weak,Positive
DevelopBuf,h2oBurnPer,-0.2726020509575703,0.02052087262328728,0.2726020509575703,Weak,Negative
meanStreamTemp,RoadsRCA,0.27250287759785385,0.02056868758995689,0.27250287759785385,Weak,Positive
BFI,BurnRCA,0.2712673283540212,0.021172402509864963,0.2712673283540212,Weak,Positive
Forest21,h2oWetland,-0.27015659189063496,0.021727957593483893,0.27015659189063496,Weak,Negative
Shrub21,VegCovBuf,-0.2697191197240243,0.021950149245448802,0.2697191197240243,Weak,Negative
Forest21,VegHtBuf,0.2685568626907129,0.022549873478688198,0.2685568626907129,Weak,Positive
Forest21,WetPrecip,0.2666838216557995,0.02354566971877592,0.2666838216557995,Weak,Positive
MaxAir_C,VegCover,-0.26637610782688753,0.023712783530604575,0.26637610782688753,Weak,Negative
AgBuf,HiCascBuf,-0.2660585695659225,0.023886287150345797,0.2660585695659225,Weak,Negative
Elev,RoadsRCA,-0.26550764741375876,0.02418986817993307,0.26550764741375876,Weak,Negative
BurnRCA,MeanMaxAir,-0.265065007906746,0.024436145913511176,0.265065007906746,Weak,Negative
BurnRCA,DevelopRCA,-0.2632233433761234,0.025483766155853793,0.2632233433761234,Weak,Negative
h2oRdDens,LakesBuf,0.2628790905520621,0.02568375110243437,0.2628790905520621,Weak,Positive
h2oWetland,RoadsRCA,0.26200778810139846,0.026195854621029913,0.26200778810139846,Weak,Positive
